,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_Intercept,1.301612030280884,0.03366301055157164,1.2381082030034152,1.2789094920818398,1.3001880843107019,1.3232575246483247,1.3716930687639504,0.0005950982152960695
a_Intercept_std,0.19673471712078036,0.027427475044983867,0.15214447338315817,0.17741727314179437,0.19352256601438778,0.2132456397632576,0.25850790857958145,0.0008877139618294809
a_Intercept_subj.1,1.4638935093640673,0.027369042371225873,1.4124175516978381,1.4448298658160945,1.4630799532921048,1.4822642783056412,1.5192763360712358,0.00042109514006315413
a_Intercept_subj.2,1.1607708604003426,0.018767923873104407,1.1238857495303882,1.1481221938904986,1.160786126338947,1.173140643055173,1.1979475583026402,0.00032943620853418407
a_Intercept_subj.3,1.3556720469622334,0.029413566855410946,1.299778735625822,1.3351481001980865,1.355146060505169,1.375088707488745,1.414636680785517,0.0005420384968316929
a_Intercept_subj.4,1.3760974421999919,0.026770571063788256,1.3261259293773247,1.357810179663573,1.3755749626694311,1.3940840279707072,1.4300130547312326,0.0005948816309179453
a_Intercept_subj.5,1.7189610795695902,0.1602876197013629,1.5192419755474873,1.6155793372149467,1.6797071296724584,1.775040462513949,2.179021314809501,0.01263200662609899
a_Intercept_subj.6,1.32950902084162,0.02777078701721725,1.2762503690730915,1.3107898645172298,1.3288297590678728,1.3478544671962474,1.3852372695312263,0.0005104219697572282
a_Intercept_subj.7,1.1285400229594904,0.022158904765318038,1.0855437525974934,1.1133419923504255,1.1283006114035492,1.1437657725320447,1.1724038980096505,0.00042382409968366106
a_Intercept_subj.8,1.4356906035256678,0.02987755180563818,1.3771945253928581,1.415798196201016,1.4360380231265646,1.4554789226512657,1.4952727205441998,0.0006068317679086285
a_Intercept_subj.9,1.0631023282720835,0.014747401520645988,1.0342432758499762,1.0532883137904698,1.0631438238659654,1.0731250803739627,1.0923565517372384,0.00024604763967979204
a_Intercept_subj.10,1.0994778075045584,0.02215691036627685,1.0564967711874635,1.084650405649276,1.0989045976019922,1.114519330278748,1.1442985371993912,0.0003866093747217405
a_Intercept_subj.11,1.3818626050998633,0.025763680401455363,1.3326828513059612,1.3641581369664082,1.3813281272196023,1.3985123150876444,1.4346416279775414,0.0005037521036933611
a_Intercept_subj.12,1.3355559387802394,0.026950225624555922,1.284892068892184,1.3173373377078739,1.3349581866718891,1.3536015734924105,1.3904188300905465,0.0005590340217966907
a_Intercept_subj.13,1.6829004075701763,0.03089717113351544,1.624248566014725,1.6614261322107429,1.6827096653991276,1.7034395465370826,1.7437962990379985,0.0005401532660300471
a_Intercept_subj.14,1.2727309488894412,0.017084345946978583,1.239147595283806,1.2611467231323514,1.2729948440502399,1.2845032654364594,1.3059734002783134,0.00029516732733318436
a_Intercept_subj.15,1.06549056118262,0.016292238653584715,1.0341711217168876,1.054400884496328,1.0649551166493687,1.076214414106939,1.0980849913169535,0.00026709448488712053
a_Intercept_subj.16,1.5022372671923478,0.026305346853145166,1.4497019701910412,1.4845560794348978,1.5013959722890258,1.5202914953200668,1.5540539475112116,0.0005176510781089892
a_Intercept_subj.17,1.103143819439071,0.017209144665893197,1.0697232559535024,1.0914779446094884,1.1032083203224585,1.114650956225126,1.1366082070122445,0.00027872612377517254
a_Intercept_subj.18,1.2003167827489132,0.023393533605474456,1.1542588041821695,1.1846321131392483,1.1999809107872934,1.2156716637231504,1.2468797401728873,0.000429132474966398
a_Intercept_subj.19,1.2868137440989362,0.03297099493440347,1.2245763966207759,1.2641025223923308,1.2867367460239953,1.3080345949622723,1.3540616261516376,0.0008385839113183226
a_Intercept_subj.20,1.5897150590136124,0.039133769363424144,1.5144195255047637,1.5626940979994366,1.5890412581110018,1.6152944825136004,1.6680986420443127,0.0008869667559753894
a_Intercept_subj.21,1.1831027946627617,0.025045616498315864,1.1354309574769952,1.1658698653381718,1.1827227408813203,1.1997192037584241,1.2330289461163237,0.00046541957013425194
a_Intercept_subj.22,1.2355527090409328,0.022701647491154955,1.1919459145058855,1.219588021006551,1.2358558977176861,1.2514897842115718,1.2790027826577934,0.0004431847550327628
a_Intercept_subj.23,1.177435506667058,0.022579478325358757,1.1344809784498084,1.1624303162181384,1.1771678915809987,1.1924284164741337,1.2229435725916398,0.00043471396359488724
a_Intercept_subj.24,1.5044789027700203,0.023000695610247972,1.4601465743656736,1.48906378998737,1.5040876715057472,1.51977768518989,1.5504631245325735,0.0003572472044658473
a_Intercept_subj.25,1.223185073299335,0.01639165204340087,1.1916148392053303,1.2117689593740997,1.2232121978296011,1.234546552169754,1.2546350814289222,0.00027688528463526814
a_Intercept_subj.26,1.1198336978793137,0.017812418319965457,1.0860121877737776,1.1076503888559985,1.1194306121589273,1.1316403463051834,1.1563024081996662,0.00034453642651689466
a_Intercept_subj.27,1.2623122425175228,0.02266873304922026,1.2189998230923318,1.2466314656847215,1.2616811113223056,1.2775901062116108,1.3072516324443988,0.00044615957930935603
a_Intercept_subj.28,1.6353611421024523,0.032471865041680516,1.5729097397768153,1.6137250751567898,1.6347418163620404,1.6567285118816886,1.7009167599119868,0.0006103425573178395
a_Intercept_subj.29,1.5536206344541934,0.04041385451454334,1.4798586982672863,1.5250023960292345,1.5521107606613966,1.5797012514634805,1.6357786178414482,0.0011604404560000467
