,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_Intercept,1.2879923288455293,0.03349068119717698,1.2246446714263097,1.2656260432079156,1.2867919418782694,1.3090868468900598,1.3573291293810354,0.000550162037104777
a_Intercept_std,0.19458533482794832,0.025560661944457812,0.15129884400120763,0.17666958757667933,0.1919400753397234,0.2096349840184933,0.2513246581910069,0.0005959081099227715
a_Intercept_subj.1,1.4511818160628944,0.02894345111585176,1.3949172276195418,1.4315377883766383,1.4513167894088308,1.470975455271315,1.506692342452635,0.0006642785634293685
a_Intercept_subj.2,1.1457411639914805,0.01993727674502995,1.1079804153697805,1.1322375203491217,1.145158129903974,1.1591128609918613,1.1857583920468222,0.0004399296666263906
a_Intercept_subj.3,1.3445948416578088,0.029422416894433936,1.2894255590137182,1.3245440319143094,1.344387654630266,1.3639159246124126,1.4027364154071398,0.0006379193584657742
a_Intercept_subj.4,1.3645328357799142,0.026872847924631793,1.3126605009542431,1.3459958726962213,1.3646183680812858,1.3823730343491345,1.4174409690317986,0.0004925964107858807
a_Intercept_subj.5,1.6802300842621354,0.11809425885978071,1.5055316662998124,1.6010685659839388,1.6583389949552958,1.734634915193251,1.9763626133173582,0.007625285938590821
a_Intercept_subj.6,1.3161705640830639,0.027269565251245693,1.2632306145085543,1.2973740543535535,1.3159123530364938,1.3343820020248474,1.3716842943052818,0.0005550634595037315
a_Intercept_subj.7,1.1184315551178496,0.021927286897110095,1.075238591809529,1.1036623731735626,1.1186719180081164,1.1336723303593672,1.160120138468595,0.0004828748633772582
a_Intercept_subj.8,1.4242097929030513,0.030277992583596283,1.36670214049011,1.403895758485759,1.4236715720289916,1.4445898335411014,1.4844785914951895,0.0006310407102921712
a_Intercept_subj.9,1.0516014368492221,0.015451030705373852,1.0204222881888634,1.041026279452617,1.0520447548828347,1.061973723305817,1.0824501943787468,0.0003104746013734606
a_Intercept_subj.10,1.0881036383938474,0.021589893553443023,1.0465145828146563,1.073418058653872,1.087751694613494,1.1029717625717377,1.130363245749559,0.0004754163555120947
a_Intercept_subj.11,1.3690164904604345,0.025833105117694474,1.3182746540870625,1.351571479315974,1.3691251277368208,1.386299331021894,1.419688901255108,0.000566038291184934
a_Intercept_subj.12,1.321033093140996,0.027647434342648665,1.2686193621640045,1.3020015168090284,1.3211427873720203,1.339034332308355,1.3761025267046276,0.0005437648397573524
a_Intercept_subj.13,1.671335864143521,0.030841643845238593,1.611006863857916,1.6505168033595554,1.6711308923478096,1.6922311563963237,1.7321694754800832,0.000551866527346833
a_Intercept_subj.14,1.2611247676015906,0.017727715622527687,1.226765173285581,1.249114111897654,1.2608134460032918,1.2732520836760033,1.296302656261497,0.00034270280560391866
a_Intercept_subj.15,1.0550714459709727,0.017446202740461384,1.0217024722862234,1.0432465278124614,1.0546988357824276,1.0662322456386382,1.0906367410399878,0.0003208269200774976
a_Intercept_subj.16,1.4889595386133243,0.026780650018024838,1.4359440434619204,1.4708820068582014,1.489289933388972,1.5066117960388712,1.5424668740917187,0.0004874426020993988
a_Intercept_subj.17,1.087659188872667,0.018679824625401825,1.0517415925008031,1.075052002595091,1.0872895137621088,1.1001424983923955,1.1248214981115325,0.0004455341768234937
a_Intercept_subj.18,1.187408201120944,0.023976491318401023,1.1421233495464014,1.1713082565272577,1.1871643866349118,1.2028451314336162,1.2351566779272611,0.0005522742595196064
