,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.296873538013091,0.042183476673964354,1.2173190437170136,1.268426954153591,1.2950340966772855,1.3237442363608252,1.3849116237329424,0.0007497644659570805
a_std,0.24358990751570636,0.037042231049557874,0.18055703750043317,0.21783832479575166,0.2403217684934137,0.2654028645191644,0.3270786870914386,0.00160975744150907
a_subj.1,1.4693149787649487,0.027977275534228817,1.4151049423922335,1.4504544949241,1.4692143953114818,1.488137531128625,1.525023910331169,0.0004278009945870927
a_subj.2,1.1579956309542876,0.018667375359303004,1.122501610577997,1.1452337150957406,1.1577875044389,1.1703717097277175,1.1949367515515035,0.00024980290361114156
a_subj.3,1.2818750466898114,0.02820770276277401,1.2292194670868177,1.2623766013814066,1.2809787545502527,1.3005305249185057,1.3387014307509004,0.00044102261487145974
a_subj.4,1.3708349495111993,0.025761359051811518,1.3219766603870649,1.3534065165928841,1.3701868176275152,1.388121701766386,1.4224163191612897,0.0003767641273108854
a_subj.5,2.3187025134508725,0.26268406410273054,1.7441068762329934,2.156689111980549,2.3387141708422963,2.494135585621841,2.813814872339832,0.021122998103402513
a_subj.6,1.2707120982476077,0.02615528548986863,1.2204133212736892,1.2525113053300467,1.2703964636168468,1.2880442205442864,1.3227570518881797,0.0004560053451670743
a_subj.7,1.1271794470759382,0.019967356284819982,1.0896330220783856,1.1135793528116122,1.126734463040337,1.1401501631341726,1.1684658070861058,0.0002764250402512725
a_subj.8,1.3856629968358898,0.03665304579610591,1.3184695228044474,1.3599049475613951,1.3844129820176336,1.4102095370205117,1.4618685477624536,0.0008747198504018651
a_subj.9,1.0095779077370655,0.013981611547766634,0.9823514891803848,1.000173721205255,1.0095504834920022,1.0188529533587034,1.0377775597677985,0.00017929516396701482
a_subj.10,1.0430799597834297,0.020910503248178298,1.0029459983886257,1.0287343544737977,1.0426407860244102,1.0574267467902745,1.0848517407792604,0.0003178553986832566
a_subj.11,1.3894030250975842,0.0259489597807615,1.3403054797596865,1.371530051824128,1.3890648342471363,1.4066322839955918,1.4412209283030004,0.00035802737859421654
a_subj.12,1.289229508339083,0.029451326858842906,1.2337356122272003,1.26905651122305,1.2883861520332651,1.3087594489486676,1.3488900624414868,0.0005393561412172275
a_subj.13,1.6924826217727424,0.032059309216957564,1.632057641487614,1.6706040359766021,1.6918003574017393,1.7136447590294284,1.7569972584089917,0.0004016413826277708
a_subj.14,1.232685356652749,0.016457764603498168,1.2010485047876904,1.2214937149917793,1.2324114470986196,1.2436453095625704,1.265730020444597,0.00018056058871926574
a_subj.15,1.0287942127212155,0.015510813365015239,0.99867767980772,1.0182276343387922,1.0287342336160126,1.0394342629067452,1.058786918213226,0.0001548511755090724
a_subj.16,1.4666162028244354,0.024771251731350915,1.4197234356569628,1.449270928464928,1.4663221581415298,1.4835243795244404,1.5160729527813235,0.0003299073983191568
a_subj.17,1.0434787403958175,0.015648917676478465,1.0130466673731164,1.0328324356004612,1.0434652418006911,1.053830338808004,1.0745977762433965,0.00021828515021205365
a_subj.18,1.200817844035646,0.027031599755140925,1.1513714052521316,1.1819755122149922,1.199660619859715,1.218749272555923,1.2564471883696486,0.0005171853619332278
a_subj.19,1.3173172929817527,0.03213368665560789,1.2578144975089645,1.2949689292419313,1.3160837152081997,1.33822127406104,1.3841333397648383,0.0006083928462219779
a_subj.20,1.5807313473042444,0.03573380052767541,1.513356766853979,1.5559983817296845,1.580217083517617,1.604569347763662,1.6534443822484621,0.0005818129562672393
a_subj.21,1.1856034978320211,0.03032241132520481,1.13171024215769,1.164098668196727,1.1837415938446898,1.2050211101316877,1.2504904288001724,0.00066176420482586
a_subj.22,1.2010511816978922,0.01910344999410048,1.1645092929577767,1.1877461339527966,1.2006252618083904,1.2139580888541266,1.23931947974098,0.000230862376975679
a_subj.23,1.1907878308191866,0.02124350585161235,1.149595507203991,1.1762946485683474,1.1906968495110715,1.2051626588354585,1.2325030824191963,0.00029108702348469394
a_subj.24,1.448744757142617,0.02255492244190817,1.40566220596259,1.4332501367067936,1.448460603872201,1.463886976709417,1.4936042644597765,0.000259178077672795
a_subj.25,1.1814698095604794,0.018138916323789136,1.1479773722115785,1.1692818196300578,1.1809330819515107,1.192798300992409,1.219443642175083,0.00031432155386659056
a_subj.26,1.13052306750213,0.017186559418954032,1.0977072858878363,1.1186625584102885,1.1301603191268388,1.1417291006015495,1.1652356361865133,0.00021516966779593565
a_subj.27,1.2717227278337493,0.022871500611719886,1.2286691720178058,1.2560829131888995,1.2711893975373283,1.2868862018332174,1.3182576658645866,0.0003591330282869529
a_subj.28,1.6054200459716415,0.03872287400317296,1.5295033794096118,1.5794686849997952,1.6057526355583103,1.6315232980546603,1.6811073720349348,0.0007249376735722149
a_subj.29,1.5551397664848337,0.043718871926871884,1.4728239633578133,1.5252777414979546,1.5541044616237287,1.5835454572725267,1.6453796163470928,0.0010411654152104577
