,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(PM),1.3100580319280135,0.035371034546230196,1.242293758761286,1.2860693529661458,1.3090291335746516,1.333853234751733,1.3809675365796976,0.0005494216830022666
a(noPM),1.2595498869718302,0.035289808285936516,1.1915928144389796,1.2358959102172555,1.2594054026004893,1.2828151392027793,1.3308632665303572,0.0006334624434958805
a_std,0.20890742510834642,0.023644851402500718,0.16792981558769388,0.1919843448415478,0.20734839008285308,0.22382901128307053,0.2589780787448406,0.0012115969489650846
a_subj(PM).1,1.518571633549394,0.04916372658559712,1.4262318417991577,1.484460083530219,1.517234440831008,1.551274584641228,1.6186625039743958,0.0006888376567741684
a_subj(PM).2,1.1537167842101181,0.03699275465064288,1.074790699862436,1.1309748847531549,1.1552289907909912,1.1783370056747338,1.2225829166238142,0.0007299583977720626
a_subj(PM).3,1.379865428378135,0.05139352394838976,1.2823427496927942,1.3446908564365112,1.3792649000137618,1.4136882172488245,1.4856888673794482,0.000767298894501644
a_subj(PM).4,1.470986200642757,0.04828837989918198,1.3808997091536555,1.4377097326513517,1.4695094353467455,1.5021588873315825,1.5701033051621542,0.000777259911699135
a_subj(PM).5,1.5491099398392478,0.10341990684015523,1.3748736929668945,1.4757430597098238,1.5379068715069415,1.612130475801314,1.7788291419708877,0.003418866739052815
a_subj(PM).6,1.3060918898751066,0.04728720154238275,1.2173626454443283,1.2732923604364152,1.304270846663095,1.336934742934431,1.4030020823226057,0.0007243074990469434
a_subj(PM).7,1.1118187380370805,0.03295439010273325,1.0505482533255763,1.0888217595094731,1.1109773462441845,1.1340139286989763,1.1787416392567827,0.00047832282171237804
a_subj(PM).8,1.4594906873776743,0.05505506055336886,1.3579342495589577,1.421521873029032,1.4568173302894663,1.495672715617962,1.5731287710130613,0.0008989522019520905
a_subj(PM).9,1.065554402758488,0.026257412986159474,1.0151509914430052,1.0475948713294736,1.0648502524983918,1.0831699699155057,1.1178314631087929,0.00028574791548550065
a_subj(PM).10,1.1271003236306236,0.03680288810935247,1.0577059728098357,1.1019056672857732,1.126078946637154,1.1514679920370667,1.2020432278241644,0.0004778044119311777
a_subj(PM).11,1.3901412742800283,0.044258210858946115,1.3063471387074939,1.3595563867445364,1.3894802320022912,1.419260160003626,1.4796091350313154,0.0006180877064364197
a_subj(PM).12,1.336611692047072,0.04391713173474113,1.2541614863722603,1.3063150749529129,1.3353425383955835,1.3657830415805994,1.4242387130848508,0.0006200252631443095
a_subj(PM).13,1.6348501927098713,0.05660392596829609,1.5316933188125326,1.5958080740601128,1.6319506198369416,1.6716313193728047,1.7523712682239363,0.0008907085317851609
a_subj(PM).14,1.2929307280622007,0.03176702258350915,1.233058277462601,1.2709861993743938,1.292305825282649,1.3140994584593002,1.3561321889943208,0.00037071853136152685
a_subj(PM).15,1.034928182602042,0.025948293945540126,0.9859989500926224,1.0174612314227527,1.0341668066613248,1.0518981394620388,1.087586070502849,0.00032682800921787476
a_subj(PM).16,1.54484252556529,0.04568355130134244,1.4583302381163363,1.5138246986458037,1.5440527928630399,1.574638002036185,1.637887256300345,0.000609498281837012
a_subj(PM).17,1.066893832167019,0.02698261808462738,1.0153084464567024,1.048405959738675,1.0664875736202808,1.0845531093230045,1.1214705588466412,0.0003388564269287895
a_subj(PM).18,1.2391334737557944,0.04777451348749829,1.1478737871860565,1.20685421953482,1.238161391272734,1.2704900059289377,1.3343255379805359,0.0008562470434574688
a_subj(PM).19,1.2667708543986276,0.07161604160508504,1.1292658723486415,1.2141987441610935,1.2700437448587847,1.318598191961677,1.4001363001671976,0.0023417163700594525
a_subj(PM).20,1.5490526350387837,0.06895872811147799,1.4203247613748797,1.501802224434123,1.546572504381479,1.5933681028782285,1.6935035809599157,0.0015929030215101384
a_subj(PM).21,1.2131502945474675,0.046149160578444794,1.1268604389954866,1.1818009129727092,1.2114347350173138,1.243220082700079,1.3079279635711036,0.0008264577917211919
a_subj(PM).22,1.300770708207263,0.037735344774846635,1.2245897325697992,1.276101966280384,1.300959673134875,1.3259556625792939,1.374364536552155,0.0006001396570301843
a_subj(PM).23,1.222531825062019,0.041042163884778,1.1394824818523728,1.1952375320248516,1.2238934447344094,1.2501026374725372,1.3013315306529334,0.0006083687431651856
a_subj(PM).24,1.4883624156197324,0.039395741657929674,1.4135154057826993,1.461113201707943,1.4879767914807653,1.514388031086912,1.5679699876813133,0.0004310220833592139
a_subj(PM).25,1.2022110653833102,0.03540325743183962,1.1402303441621282,1.178559010947329,1.1996702394609886,1.2229855922890638,1.2836063397951138,0.000679814433096354
a_subj(PM).26,1.0481145326150918,0.03125006197209018,0.9859295474250637,1.0276358574294902,1.04814288358162,1.0689281821284953,1.1098066568284337,0.000474035659935911
a_subj(PM).27,1.2551299876087638,0.0362522982992529,1.186093959654253,1.2304450175582164,1.2538949114849127,1.2793155657233881,1.3296017649302507,0.00047463010489055607
a_subj(PM).28,1.6437544039275074,0.058190957435116444,1.5371447830908833,1.6043098627680443,1.6409202979457058,1.681216787610399,1.7660309214285106,0.0010051286543911989
a_subj(PM).29,1.547102837490396,0.0656654103133293,1.4279312698256845,1.5017535693090371,1.544191901221388,1.5878984735830333,1.6863383607590707,0.0014193100614575199
a_subj(PM).30,1.2311199622024736,0.04273473722440075,1.1533721878769263,1.201734623858427,1.2288225422965058,1.2585119602039763,1.3211788337926427,0.0006845020255865548
a_subj(PM).31,0.9890364561778001,0.026549076432740334,0.93858839225313,0.9707939310730047,0.9884335994930329,1.006340297515582,1.0424406527913521,0.00036275833102338353
a_subj(PM).32,1.373807947633567,0.04945963294170964,1.2790965212524115,1.3405445336795148,1.3733537581168718,1.4059004380744948,1.4732579708727938,0.0008364587550597262
a_subj(PM).33,1.3831707644597293,0.049050416799586334,1.2927966322897624,1.349263742660189,1.3807622451428947,1.415172335233742,1.4849981338544884,0.0008035785025136789
a_subj(PM).34,1.2549707047302283,0.034760938705456976,1.189168933167552,1.2309297416552432,1.2539505194565346,1.2781058924804947,1.3248725038209734,0.00041467890867846345
a_subj(PM).35,1.243181117300839,0.03238892367551346,1.1805865310335033,1.2209151714674389,1.242983624154921,1.2651108687527295,1.307486636841574,0.0003723415707104606
a_subj(PM).36,1.06342579940664,0.03120021877842236,1.0045842871333557,1.0420076159137264,1.062769877463288,1.0838964445054753,1.1261592867239882,0.0004260253751120077
a_subj(noPM).1,1.4214021791313685,0.033449972003056924,1.3574626048638483,1.3988049367702995,1.420902889739985,1.4436258328811946,1.488750371413948,0.00048590165023129384
a_subj(noPM).2,1.1587755713885655,0.02303669285549239,1.1149090281754213,1.1429563617857486,1.1584533674448796,1.1737972691905743,1.205275680639597,0.0003267779630329736
a_subj(noPM).3,1.2235748924066554,0.03328224421380922,1.1613280866226159,1.2010764934416416,1.222223699348488,1.2450972581040411,1.2930806241050887,0.0005967273198445747
