,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(PM),1.2953530972115435,0.03199367058354634,1.2331644391089838,1.273777834357276,1.2951292625132065,1.3168603637682466,1.358314592588798,0.00030083494807994874
a(noPM),1.1830171506702538,0.031677244770571204,1.1213734347827127,1.161804364339293,1.18290235645357,1.203829043307052,1.2461613172507697,0.0003491235691494758
a_std,0.18940152511375272,0.01778615881211033,0.15895135976632277,0.17678519063306683,0.18804883865579114,0.20039476758113117,0.2280191677131037,0.00032683816630497736
a_subj(PM).1,1.4312490212863922,0.03410021170655154,1.3674483717751398,1.4074367878857479,1.4303158259166453,1.4540285450749648,1.5006667442969746,0.0005141142430347699
a_subj(PM).2,1.1627330016678987,0.023611864005583707,1.1169842599379072,1.1467178326357206,1.1622995963506462,1.1783001849550168,1.210301899754053,0.00030748393494318705
a_subj(PM).3,1.3644415402041565,0.036566377629973446,1.295866352352457,1.3391526609383324,1.363441483910864,1.3883410704495955,1.4396682613802523,0.0007479666510633946
a_subj(PM).4,1.4064692709929374,0.031651481597938326,1.345710748436037,1.3848240370543066,1.4059858910297298,1.42721513774975,1.4704134121533203,0.0005413630949322055
a_subj(PM).5,1.5925715800758242,0.10167774214450136,1.425098495218858,1.5194564618615078,1.5830153816930501,1.6544232992714152,1.8198640081327981,0.004052803284237143
a_subj(PM).6,1.2798868938514145,0.031028669518884517,1.2215346411761034,1.2584275553315882,1.2791234741152637,1.3003094413027907,1.343607414698072,0.00045459543768581345
a_subj(PM).7,1.121566134572558,0.023679207482965533,1.0767788997438046,1.1055432405956622,1.1209710498413388,1.137207306262544,1.169429223503295,0.0003214374366924431
a_subj(PM).8,1.4711357007974724,0.03940118980675165,1.3951300401505162,1.4444191038189642,1.47022402493683,1.4965134296652622,1.5509807985279664,0.0007288908138447109
a_subj(PM).9,1.0554499116176739,0.018133697064029307,1.020108234220889,1.0431862476966758,1.0551519727380263,1.0676496254867363,1.0915172911714555,0.0002207568703387878
a_subj(PM).10,1.078776432414116,0.025027785953798464,1.0311453802816712,1.0613915717230935,1.078212689645489,1.0953331794457974,1.129766758394693,0.00035370687060335483
a_subj(PM).11,1.4533826979785847,0.03488819418755515,1.385808278888331,1.4299180561704337,1.4529453120370297,1.4763512973874835,1.5243544952590526,0.0004986575458974938
a_subj(PM).12,1.3442133319186962,0.03492069312952641,1.277076720333423,1.3202445627794637,1.3439720166213776,1.3674561745158216,1.414999868032512,0.0005714830911661257
a_subj(PM).13,1.7251317370897261,0.04130357689277528,1.6452934250323061,1.697557831296082,1.7244317727932568,1.7517198661057622,1.8098733528174797,0.0005664711861617355
a_subj(PM).14,1.2800250659397878,0.02178912252776482,1.2386051472460775,1.2649203219196568,1.2796375217938372,1.294655510924036,1.3232000755997857,0.0002598794008427042
a_subj(PM).15,1.0755642092777833,0.019418860842987044,1.0382824856966473,1.0626083529889678,1.0749659471786135,1.088204520647718,1.1145073961780352,0.00023638192592133467
