"subj_idx","stim","stim_PM","stim_noPM","rt","response","trialno","TBdist","TSdist","SBdist","Helpful"
"1","Rem","PM","noPM","0.742","1","5","0.025194","0.083333","0.10853","7"
"1","Rem","PM","noPM","1.1491","0","6","0.025194","0.16667","0.14147","7"
"1","Rem","PM","noPM","0.56424","1","7","0.025194","0.25","0.22481","7"
"1","Rem","PM","noPM","0.81039","1","8","0.025194","0.083333","0.10853","7"
"1","Rem","PM","noPM","0.54966","1","9","0.025194","0.083333","0.10853","7"
"1","Rem","PM","noPM","0.78763","1","10","0.025194","0.33333","0.35853","7"
"1","Rem","PM","noPM","0.55371","1","11","0.025194","0.33333","0.30814","7"
"1","Rem","PM","noPM","0.63356","1","12","0.025194","0.16667","0.14147","7"
"1","Rem","PM","noPM","0.84491","1","13","0.025194","0.25","0.22481","7"
"1","Rem","PM","noPM","0.63955","1","14","0.025194","0.33333","0.35853","7"
"1","Rem","PM","noPM","0.8104","1","15","0.025194","0.5","0.47481","7"
"1","Rem","PM","noPM","0.93416","1","16","0.025194","0.083333","0.10853","7"
"1","Rem","PM","noPM","1.0134","1","17","0.025194","0.33333","0.30814","7"
"1","Rem","PM","noPM","0.83992","0","19","0.025194","0.33333","0.35853","7"
"1","Rem","PM","noPM","0.84364","0","20","0.025194","0.16667","0.14147","7"
"1","Rem","PM","noPM","0.92577","1","21","0.025194","0.33333","0.30814","7"
"1","Rem","PM","noPM","0.59736","1","22","0.025194","0.16667","0.19186","7"
"1","Rem","PM","noPM","0.82601","1","23","0.025194","0.5","0.47481","7"
"1","Rem","PM","noPM","0.82344","1","24","0.025194","0.16667","0.19186","7"
"1","Rem","PM","noPM","0.64274","1","25","0.025194","0.5","0.47481","7"
"1","Rem","PM","noPM","0.59879","1","26","0.025194","0.16667","0.19186","7"
"1","Rem","PM","noPM","0.63487","1","27","0.025194","0.25","0.22481","7"
"1","Rem","PM","noPM","0.69311","1","28","0.025194","0.33333","0.35853","7"
"1","Rem","PM","noPM","0.62148","1","29","0.025194","0.33333","0.30814","7"
"1","Rem","PM","noPM","0.56951","1","30","0.025194","0.5","0.47481","7"
"1","Rem","PM","noPM","0.86635","0","1","0.0014722","0.5","0.49853","7"
"1","Rem","PM","noPM","0.92453","1","2","0.0014722","0.083333","0.084806","7"
"1","Rem","PM","noPM","0.91521","1","3","0.0014722","0.33333","0.33481","7"
"1","Rem","PM","noPM","0.61874","1","4","0.0014722","0.25","0.24853","7"
"1","Rem","PM","noPM","0.78361","1","5","0.0014722","0.16667","0.16519","7"
"1","Rem","PM","noPM","0.6508","1","6","0.0014722","0.16667","0.16519","7"
"1","Rem","PM","noPM","0.5533","1","8","0.0014722","0.16667","0.16814","7"
"1","Rem","PM","noPM","0.54974","1","9","0.0014722","0.33333","0.33186","7"
"1","Rem","PM","noPM","0.65224","1","10","0.0014722","0.5","0.49853","7"
"1","Rem","PM","noPM","1.1179","1","11","0.0014722","0.083333","0.084806","7"
"1","Rem","PM","noPM","0.64567","1","12","0.0014722","0.16667","0.16814","7"
"1","Rem","PM","noPM","1.3838","0","13","0.0014722","0.25","0.24853","7"
"1","Rem","PM","noPM","0.70887","1","14","0.0014722","0.16667","0.16814","7"
"1","Rem","PM","noPM","0.70876","1","15","0.0014722","0.33333","0.33481","7"
"1","Rem","PM","noPM","0.71579","1","16","0.0014722","0.5","0.49853","7"
"1","Rem","PM","noPM","0.75733","0","18","0.0014722","0.33333","0.33186","7"
"1","Rem","PM","noPM","0.72265","1","19","0.0014722","0.5","0.49853","7"
"1","Rem","PM","noPM","0.92155","1","20","0.0014722","0.33333","0.33186","7"
"1","Rem","PM","noPM","0.63254","1","21","0.0014722","0.33333","0.33186","7"
"1","Rem","PM","noPM","0.67565","1","22","0.0014722","0.33333","0.33481","7"
"1","Rem","PM","noPM","0.75469","1","24","0.0014722","0.16667","0.16519","7"
"1","Rem","PM","noPM","0.92083","1","25","0.0014722","0.33333","0.33481","7"
"1","Rem","PM","noPM","1.0631","1","26","0.0014722","0.16667","0.16519","7"
"1","Rem","PM","noPM","0.62449","1","27","0.0014722","0.083333","0.084806","7"
"1","Rem","PM","noPM","0.71449","1","28","0.0014722","0.25","0.24853","7"
"1","Rem","PM","noPM","0.57798","1","29","0.0014722","0.16667","0.16814","7"
"1","Rem","PM","noPM","0.77641","1","30","0.0014722","0.25","0.24853","7"
"1","Rem","PM","noPM","0.67964","1","2","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.86513","1","3","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.6079","0","5","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.61353","1","6","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.70896","0","7","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","0.77498","1","8","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.67092","0","10","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","0.59391","1","11","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","1.377","1","12","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","0.64713","1","13","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","0.80354","0","14","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","1.1233","1","15","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.73258","1","16","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.70969","1","17","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.72714","1","18","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.65521","1","19","0.016139","0.083333","0.067194","7"
"1","Rem","PM","noPM","0.66499","1","21","0.016139","0.33333","0.31719","7"
"1","Rem","PM","noPM","0.5552","1","22","0.016139","0.41667","0.40053","7"
"1","Rem","PM","noPM","0.61937","1","23","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.65695","1","24","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.74175","1","25","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","1.3121","1","26","0.016139","0.16667","0.15053","7"
"1","Rem","PM","noPM","0.53891","1","27","0.016139","0.5","0.48386","7"
"1","Rem","PM","noPM","0.5492","1","28","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","1.0636","1","29","0.016139","0.16667","0.18281","7"
"1","Rem","PM","noPM","0.50866","1","30","0.016139","0.33333","0.34947","7"
"1","Rem","PM","noPM","1.0899","1","1","0.0028056","0.083333","0.086139","7"
"1","Rem","PM","noPM","0.75707","1","2","0.0028056","0.25","0.24719","7"
"1","Rem","PM","noPM","0.85747","1","3","0.0028056","0.41667","0.41386","7"
"1","Rem","PM","noPM","0.69047","1","4","0.0028056","0.083333","0.080528","7"
"1","Rem","PM","noPM","0.54736","1","5","0.0028056","0.33333","0.33053","7"
"1","Rem","PM","noPM","0.7294","1","7","0.0028056","0.41667","0.41947","7"
